Id,CAS,SMILES,Status,Experimental value [log(cm/h)],Predicted value [log(cm/h)],GNN_status
188,1123-85-9,CC(CO)C1=CC=CC=C1,Training,-1.28,-2.205744,Train
189,6923-20-2,CC(Cl)=CCl,Training,-2,-2.2615972,Train
190,78-87-5,CC(Cl)CCl,Training,-2,-2.047545,Train
191,300-62-9,CC(N)CC1=CC=CC=C1,Training,-4.85,-2.3644636,Valid
192,61379-44-0,CC(O)COC(=O)C1=CN=CC=C1,Training,-4.23,-3.5403032,Train
193,76-25-5,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,Training,-4.69,-4.575039,Train
194,124-94-7,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,Training,-5.4,-4.852502,Train
195,95-53-4,CC1=C(N)C=CC=C1,Training,-1.44,-2.2394917,Train
196,108-38-3,CC1=CC(C)=CC=C1,Training,-1.1,-1.3578964,Train
197,95-54-5,CC1=CC(N)=C(N)C=C1,Training,-3.35,-2.861446,Train
198,88-04-0,CC1=CC(O)=CC(C)=C1Cl,Training,-1.28,-1.383454,Train
199,75-56-9,CC1CO1,Training,-3.05,-2.8790395,Valid
200,75-07-0,CC=O,Training,-3.15,-3.0981398,Test
201,6677-98-1,CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,Training,-2.47,-3.6453903,Train
202,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Training,-3.71,-2.96337,Train
203,2035-94-1,CCC(CO)C1=CC=CC=C1,Training,-1.19,-1.967403,Test
204,79-09-4,CCC(O)=O,Training,-2.94,-2.8412983,Test
205,107-87-9,CCCC(C)=O,Training,-2.6,-2.6010864,Train
206,4383-18-0,CCCC(CO)C1=CC=CC=C1,Training,-0.97,-1.729062,Train
207,591-78-6,CCCCC(C)=O,Training,-2.35,-2.3627453,Train
208,4396-98-9,CCCCC(CO)C1=CC=CC=C1,Training,-1.01,-1.4907209,Train
209,110-43-0,CCCCCC(C)=O,Training,-2,-2.1244042,Test
210,8012-56-4,CCCCCCCCCCCCOS(O)(=O)=O,Training,-2.54,-1.4553062,Train
211,141-32-2,CCCCOC(=O)C=C,Training,-2,-2.0278623,Train
212,124-17-4,CCCCOCCOCCOC(C)=O,Training,-3.49,-3.1729004,Valid
213,94-12-2,CCCOC(=O)C1=CC=C(N)C=C1,Training,-1.0937,-2.5071573,Train
214,2807-30-9,CCCOC(C)O,Training,-2.98,-2.9488168,Train
215,2807-30-9,CCCOCCO,Training,-2.7837,-3.06263,Valid
216,75-04-7,CCN,Training,-3.09,-3.1874337,Train
217,121-44-8,CCN(CC)CC,Training,-2.31,-2.3473144,Train
218,109-89-7,CCNCC,Training,-2.75,-2.8043294,Test
219,84-66-2,CCOC(=O)C1=C(C=CC=C1)C(=O)OCC,Training,-1.3637,-2.46576,Test
220,120-47-8,CCOC(=O)C1=CC=C(O)C=C1,Training,-1.8537,-2.458766,Test
221,140-88-5,CCOC(=O)C=C,Training,-2.39,-2.5524695,Train
222,109-94-4,CCOC=O,Training,-3.01,-2.8511674,Test
223,127-19-5,CN(C)C(C)=O,Training,-2.8,-3.5299678,Train
224,121-69-7,CN(C)C1=CC=CC=C1,Training,-1.7,-2.0250065,Test
225,59804-37-4,CN1C(C(=O)NC2=NC=CC=C2)C(=O)C3=C(C=CS3)S1(=O)=O,Training,-3.05,-3.8224635,Train
226,34367-55-0,CN1C=NC=C1CC(NC(=O)C2CCC(=O)N2)C(=O)N3CCCC3C(N)=O,Training,-4.1637,-6.4180737,Train
227,60-80-0,CN1N(C(=O)C=C1C)C2=CC=CC=C2,Training,-4.18,-2.7076764,Valid
228,60-34-4,CNN,Training,-3.75,-3.405321,Valid
229,96-33-3,COC(=O)C=C,Training,-2.68,-2.7145567,Train
230,14199-15-6,COC(=O)CC1=CC=C(O)C=C1,Training,-1.7037,-2.6817062,Train
231,34590-94-8,COC(C)COC(C)CO,Training,-4.09,-3.5075586,Train
